StateProgressReport2021_County,StateProgressReport2021_Total_Remon_Corners_in_County,StateProgressReport2021_Remon_Corners_Completed_thru_2018_Grant_Cycle,StateProgressReport2021_Aveverage_Spent_per_Corner_Completed,StateProgressReport2021_Total_State_Grants_Awarded_thru_2018_Grant_Cycle,StateProgressReport2021_Total_State_Grants_Expended_thru_2018_Grant_Cycle,StateProgressReport2021_TotalArea,StateProgressReport2021_TotalAreaRUCA7Plus,StateProgressReport2021_TotalAreaRUCA99,StateProgressReport2021_WeightedRuggednessScale,StateProgressReport2021_WeightedTRI,StateProgressReport2021_RoadCount,StateProgressReport2021_TotalPopulation,StateProgressReport2021_AverageTRI,StateProgressReport2021_RoadsPerSqMile,StateProgressReport2021_PercentRUCA7Plus,StateProgressReport2021_PopulationDensity,StateProgressReport2021_TotalAreaRUCA8Plus,StateProgressReport2021_TotalAreaRUCA9Plus,StateProgressReport2021_PercentRUCA8Plus,StateProgressReport2021_PercentRUCA9Plus,StateProgressReport2021_Percent_Remon_Corners_Completed_thru_2018_Grant_Cycle
Cheboygan,2615,1964,679.46,1337311.09,1334459.39,715.3,715.3,0,715.3,9730.7389,15855,26152,13.6037171816021,22.1655249545645,1,36.5608835453656,687.1,425.6,0.96057598210541,0.594995106948134,0.751
Chippewa,7335,3762,739.92,2783594.7,2783591.54,1558.5,588.9,0,1558.5,12787.3282,22613,38520,8.20489457811999,14.5094642284248,0.37786333012512,24.716073147257,588.9,588.9,0.37786333012512,0.37786333012512,0.513
Clare,2416,1813,676.85,1227349.51,1227123.26,564.4,498.8,0,564.4,6697.2136,12308,30926,11.86607654146,21.8072289156627,0.883770375620128,54.7944720056697,370.9,370.9,0.657158043940468,0.657158043940468,0.75
Clinton,2127,1564,922.97,1446360.2,1443530.61,566.3,0,0,566.3,4421.5429,11658,75382,7.8077748543175,20.5862616987462,0,133.113190888222,0,0,0,0,0.735
Crawford,2727,1257,815.67,1037926.04,1025294.18,556.2,556.2,0,556.2,7747.3379,15025,14074,13.9290505213952,27.0136641495865,1,25.3038475368572,430.4,132,0.773822366055376,0.237324703344121,0.461
Delta,5478,4485,505.82,2271859.15,2268590.64,1171.1,317.5,0,1171.1,8939.2524,13645,37069,7.63321014430877,11.6514388182051,0.271112629152079,31.6531466142943,317.5,317.5,0.271112629152079,0.271112629152079,0.819
Dickinson,2941,2497,534.71,1336881.08,1335178.79,761.4,0,0,1085.8,14499.411,12292,26168,19.0430929866036,16.1439453638035,0,34.3682689781981,0,0,0,0,0.849
Eaton,2786,2463,778.88,1918596.33,1918371.09,575.1,0,0,575.1,5136.5937,12450,107759,8.93165310380803,21.6484089723526,0,187.374369674839,0,0,0,0,0.884
Emmet,2398,960,1110.77,1075013.46,1066335.26,467.5,467.5,0,693.5,9315.4061,9955,32694,19.9260023529412,21.2941176470588,1,69.9336898395722,459.3,221.6,0.982459893048128,0.474010695187166,0.4
Genesee,3089,2477,1407.17,3566039.25,3485555.68,637,1.1,1.1,637,5080.0097,19326,425790,7.97489748822606,30.3390894819466,0.00172684458398744,668.430141287284,1.1,1.1,0.00172684458398744,0.00172684458398744,0.802
Gladwin,2455,1451,726.02,1053447.8,1053447.8,501.7,182.5,0,501.7,4197.5974,9074,25692,8.36674785728523,18.086505880008,0.363763205102651,51.2098863862866,151.6,102.5,0.302172613115408,0.204305361769982,0.591
Gogebic,4121,3995,446.64,1795019.61,1784328.26,1101.8,1101.8,0,1548.9,19892.1159,15174,16427,18.0541984933745,13.7720094390997,1,14.9092394263932,1094.9,618.4,0.993737520421129,0.561263387184607,0.969
Grand Traverse,2384,1880,806.49,1521271.09,1516205.73,464.2,0,0,565.9,7274.2391,12389,86986,15.670484920293,26.6889271865575,0,187.389056441189,0,0,0,0,0.788
Gratiot,2704,1611,754.88,1217242.95,1216105.66,568.5,284,0,568.5,3422.4027,10530,42476,6.02005751978892,18.5224274406332,0.499560246262093,74.7159190853122,284,284,0.499560246262093,0.499560246262093,0.596
Hillsdale,2884,1387,897.29,1245297.48,1244534.33,598.1,140,0,598.1,6697.222,10873,46688,11.1974954021067,18.1792342417656,0.234074569469988,78.0605249958201,140,140,0.234074569469988,0.234074569469988,0.481
Houghton,4009,1558,1110.77,1736628.94,1730575.51,1009.1,39.3,0,1087.7,17498.8786,19849,36628,17.3410748191458,19.6700029729462,0.038945595084729,36.2976910117927,0,0,0,0,0.388
