County,avg_cost_per_marker,SourceCounty
Gratiot,781.18,Gratiot
Clinton,938.03,Gratiot
Crawford,833.81,Gratiot
Hillsdale,922.74,Gratiot
Huron,830.78,Gratiot
Ionia,820.09,Gratiot
Lake,574.48,Gratiot
Lenawee,880.36,Gratiot
Shiawassee,848.71,Gratiot
Tuscola,894.46,Gratiot
Wexford,744.18,Gratiot
Hillsdale,922.74,Hillsdale
Clinton,938.03,Hillsdale
Crawford,833.81,Hillsdale
Gratiot,781.18,Hillsdale
Ionia,820.09,Hillsdale
Lake,574.48,Hillsdale
Oceana,642.63,Hillsdale
Otsego,766.63,Hillsdale
Shiawassee,848.71,Hillsdale
Tuscola,894.46,Hillsdale
Wexford,744.18,Hillsdale
Houghton,1195.81,Houghton
Alcona,768.44,Houghton
Antrim,1139.45,Houghton
Baraga,1092.72,Houghton
Kalkaska,547.43,Houghton
Leelanau,801.3,Houghton
Missaukee,653.48,Houghton
Montmorency,623.69,Houghton
Newaygo,692.39,Houghton
Ogemaw,916.2,Houghton
Osceola,539.31,Houghton
Huron,830.78,Huron
Crawford,833.81,Huron
Gratiot,781.18,Huron
Hillsdale,922.74,Huron
Ionia,820.09,Huron
Lake,574.48,Huron
Lenawee,880.36,Huron
Oscoda,552.25,Huron
Sanilac,831.49,Huron
Tuscola,894.46,Huron
Wexford,744.18,Huron
Ingham,1029.19,Ingham
Allegan,751.4,Ingham
Berrien,1208.9,Ingham
Eaton,787.96,Ingham
Genesee,1439.92,Ingham
Grand Traverse,836.55,Ingham
Kalamazoo,1189.2,Ingham
Monroe,1095.1,Ingham
Saginaw,1017.52,Ingham
St. Clair,1678.03,Ingham
Washtenaw,1373.27,Ingham
Ionia,820.09,Ionia
Clinton,938.03,Ionia
Gratiot,781.18,Ionia
Hillsdale,922.74,Ionia
Lake,574.48,Ionia
Lapeer,977.09,Ionia
Lenawee,880.36,Ionia
Oceana,642.63,Ionia
Shiawassee,848.71,Ionia
Tuscola,894.46,Ionia
Wexford,744.18,Ionia
Iosco,892.77,Iosco
Alcona,768.44,Iosco
Antrim,1139.45,Iosco
Arenac,934.41,Iosco
Benzie,595.49,Iosco
Charlevoix,1410.45,Iosco
Clare,709.14,Iosco
Emmet,1152.14,Iosco
Midland,802.06,Iosco
Missaukee,653.48,Iosco
Ogemaw,916.2,Iosco
Iron,480.42,Iron
Alcona,768.44,Iron
Alger,910.19,Iron
Baraga,1092.72,Iron
Charlevoix,1410.45,Iron
Dickinson,554.11,Iron
Gladwin,759.68,Iron
Gogebic,554.11,Iron
Keweenaw,1067.27,Iron
Marquette,1321.73,Iron
Missaukee,653.48,Iron
Isabella,728.87,Isabella
Allegan,751.4,Isabella
Branch,832.06,Isabella
Cass,966.94,Isabella
Lapeer,977.09,Isabella
Leelanau,801.3,Isabella
Manistee,621.82,Isabella
Mecosta,525.52,Isabella
Newaygo,692.39,Isabella
Oceana,642.63,Isabella
St. Joseph,927.18,Isabella
Jackson,867.47,Jackson
Arenac,934.41,Jackson
Barry,645.22,Jackson
Benzie,595.49,Jackson
Calhoun,776.95,Jackson
Clare,709.14,Jackson
Emmet,1152.14,Jackson
Iosco,892.77,Jackson
Midland,802.06,Jackson
Montcalm,760.74,Jackson
Van Buren,1189.7,Jackson
Kalamazoo,1189.2,Kalamazoo
Berrien,1208.9,Kalamazoo
Calhoun,776.95,Kalamazoo
Eaton,787.96,Kalamazoo
Genesee,1439.92,Kalamazoo
Grand Traverse,836.55,Kalamazoo
Ingham,1029.19,Kalamazoo
Monroe,1095.1,Kalamazoo
Saginaw,1017.52,Kalamazoo
St. Clair,1678.03,Kalamazoo
Washtenaw,1373.27,Kalamazoo
Kalkaska,547.43,Kalkaska
Antrim,1139.45,Kalkaska
Branch,832.06,Kalkaska
Cass,966.94,Kalkaska
Hillsdale,922.74,Kalkaska
Isabella,728.87,Kalkaska
Leelanau,801.3,Kalkaska
Manistee,621.82,Kalkaska
Newaygo,692.39,Kalkaska
Osceola,539.31,Kalkaska
Otsego,766.63,Kalkaska
Keweenaw,1067.27,Keweenaw
Alcona,768.44,Keweenaw
Alger,910.19,Keweenaw
Baraga,1092.72,Keweenaw
Dickinson,554.11,Keweenaw
Gogebic,554.11,Keweenaw
Houghton,1195.81,Keweenaw
Iron,480.42,Keweenaw
Marquette,1321.73,Keweenaw
Missaukee,653.48,Keweenaw
Montmorency,623.69,Keweenaw
Lake,574.48,Lake
Clinton,938.03,Lake
Crawford,833.81,Lake
Gratiot,781.18,Lake
Hillsdale,922.74,Lake
Ionia,820.09,Lake
Oceana,642.63,Lake
Otsego,766.63,Lake
Shiawassee,848.71,Lake
Tuscola,894.46,Lake
Wexford,744.18,Lake
Lapeer,977.09,Lapeer
Allegan,751.4,Lapeer
Branch,832.06,Lapeer
Cass,966.94,Lapeer
Eaton,787.96,Lapeer
Ionia,820.09,Lapeer
Isabella,728.87,Lapeer
Mecosta,525.52,Lapeer
Oceana,642.63,Lapeer
Shiawassee,848.71,Lapeer
St. Joseph,927.18,Lapeer
Leelanau,801.3,Leelanau
Antrim,1139.45,Leelanau
Barry,645.22,Leelanau
Branch,832.06,Leelanau
Cass,966.94,Leelanau
Isabella,728.87,Leelanau
Manistee,621.82,Leelanau
Mecosta,525.52,Leelanau
Newaygo,692.39,Leelanau
Osceola,539.31,Leelanau
St. Joseph,927.18,Leelanau
Lenawee,880.36,Lenawee
Clinton,938.03,Lenawee
Crawford,833.81,Lenawee
Gratiot,781.18,Lenawee
Hillsdale,922.74,Lenawee
Huron,830.78,Lenawee
Ionia,820.09,Lenawee
Sanilac,831.49,Lenawee
Shiawassee,848.71,Lenawee
Tuscola,894.46,Lenawee
Wexford,744.18,Lenawee
Luce,820.26,Luce
Alpena,815.5,Luce
Cheboygan,703.96,Luce
Chippewa,762.47,Luce
Delta,517.57,Luce
Dickinson,554.11,Luce
Mackinac,852.37,Luce
Marquette,1321.73,Luce
Presque Isle,679.8,Luce
Roscommon,802.46,Luce
Schoolcraft,790.13,Luce
Mackinac,852.37,Mackinac
Alpena,815.5,Mackinac
Cheboygan,703.96,Mackinac
Chippewa,762.47,Mackinac
Delta,517.57,Mackinac
Dickinson,554.11,Mackinac
Luce,820.26,Mackinac
Marquette,1321.73,Mackinac
Presque Isle,679.8,Mackinac
Roscommon,802.46,Mackinac
Schoolcraft,790.13,Mackinac
Macomb,2992.47,Macomb
Berrien,1208.9,Macomb
Genesee,1439.92,Macomb
Grand Traverse,836.55,Macomb
Ingham,1029.19,Macomb
Kalamazoo,1189.2,Macomb
Monroe,1095.1,Macomb
Saginaw,1017.52,Macomb
St. Clair,1678.03,Macomb
Washtenaw,1373.27,Macomb
Wayne,4110.19,Macomb
Manistee,621.82,Manistee
Barry,645.22,Manistee
Branch,832.06,Manistee
Cass,966.94,Manistee
Isabella,728.87,Manistee
Leelanau,801.3,Manistee
Mecosta,525.52,Manistee
Newaygo,692.39,Manistee
Oceana,642.63,Manistee
Osceola,539.31,Manistee
St. Joseph,927.18,Manistee
Marquette,1321.73,Marquette
Alger,910.19,Marquette
Arenac,934.41,Marquette
Baraga,1092.72,Marquette
Charlevoix,1410.45,Marquette
Dickinson,554.11,Marquette
Gladwin,759.68,Marquette
Gogebic,554.11,Marquette
Iron,480.42,Marquette
Keweenaw,1067.27,Marquette
Missaukee,653.48,Marquette
Mecosta,525.52,Mecosta
Barry,645.22,Mecosta
Branch,832.06,Mecosta
Cass,966.94,Mecosta
Isabella,728.87,Mecosta
Leelanau,801.3,Mecosta
Manistee,621.82,Mecosta
Montcalm,760.74,Mecosta
Newaygo,692.39,Mecosta
St. Joseph,927.18,Mecosta
Van Buren,1189.7,Mecosta
Midland,802.06,Midland
Arenac,934.41,Midland
Benzie,595.49,Midland
Calhoun,776.95,Midland
Charlevoix,1410.45,Midland
Clare,709.14,Midland
Emmet,1152.14,Midland
Gladwin,759.68,Midland
Iosco,892.77,Midland
Jackson,867.47,Midland
Missaukee,653.48,Midland
Missaukee,653.48,Missaukee
Alcona,768.44,Missaukee
Alger,910.19,Missaukee
Antrim,1139.45,Missaukee
Arenac,934.41,Missaukee
Charlevoix,1410.45,Missaukee
Clare,709.14,Missaukee
Emmet,1152.14,Missaukee
Iosco,892.77,Missaukee
Montmorency,623.69,Missaukee
Ogemaw,916.2,Missaukee
Monroe,1095.1,Monroe
Berrien,1208.9,Monroe
Clinton,938.03,Monroe
Eaton,787.96,Monroe
Grand Traverse,836.55,Monroe
Gratiot,781.18,Monroe
Ionia,820.09,Monroe
Lenawee,880.36,Monroe
Saginaw,1017.52,Monroe
Shiawassee,848.71,Monroe
St. Clair,1678.03,Monroe
Montcalm,760.74,Montcalm
Barry,645.22,Montcalm
Benzie,595.49,Montcalm
Branch,832.06,Montcalm
Calhoun,776.95,Montcalm
Cass,966.94,Montcalm
Leelanau,801.3,Montcalm
Manistee,621.82,Montcalm
Mecosta,525.52,Montcalm
Osceola,539.31,Montcalm
Van Buren,1189.7,Montcalm
Montmorency,623.69,Montmorency
Alcona,768.44,Montmorency
Antrim,1139.45,Montmorency
Baraga,1092.72,Montmorency
Clare,709.14,Montmorency
Emmet,1152.14,Montmorency
Houghton,1195.81,Montmorency
Iosco,892.77,Montmorency
Missaukee,653.48,Montmorency
Ogemaw,916.2,Montmorency
Osceola,539.31,Montmorency
Newaygo,692.39,Newaygo
Antrim,1139.45,Newaygo
Branch,832.06,Newaygo
Cass,966.94,Newaygo
Isabella,728.87,Newaygo
Kalkaska,547.43,Newaygo
Leelanau,801.3,Newaygo
Manistee,621.82,Newaygo
Mecosta,525.52,Newaygo
Osceola,539.31,Newaygo
St. Joseph,927.18,Newaygo
Oceana,642.63,Oceana
Ionia,820.09,Oceana
Isabella,728.87,Oceana
Lake,574.48,Oceana
Lapeer,977.09,Oceana
Leelanau,801.3,Oceana
Manistee,621.82,Oceana
Mecosta,525.52,Oceana
Newaygo,692.39,Oceana
St. Joseph,927.18,Oceana
Wexford,744.18,Oceana
Ogemaw,916.2,Ogemaw
Antrim,1139.45,Ogemaw
Benzie,595.49,Ogemaw
Branch,832.06,Ogemaw
Clare,709.14,Ogemaw
Emmet,1152.14,Ogemaw
Leelanau,801.3,Ogemaw
Manistee,621.82,Ogemaw
Montcalm,760.74,Ogemaw
Newaygo,692.39,Ogemaw
Osceola,539.31,Ogemaw
Ontonagon,790.15,Ontonagon
Crawford,833.81,Ontonagon
Hillsdale,922.74,Ontonagon
Houghton,1195.81,Ontonagon
Huron,830.78,Ontonagon
Kalkaska,547.43,Ontonagon
Montmorency,623.69,Ontonagon
Oscoda,552.25,Ontonagon
Otsego,766.63,Ontonagon
Sanilac,831.49,Ontonagon
Tuscola,894.46,Ontonagon
Osceola,539.31,Osceola
Antrim,1139.45,Osceola
Barry,645.22,Osceola
Benzie,595.49,Osceola
Branch,832.06,Osceola
Cass,966.94,Osceola
Leelanau,801.3,Osceola
Manistee,621.82,Osceola
Mecosta,525.52,Osceola
Newaygo,692.39,Osceola
Ogemaw,916.2,Osceola
Oscoda,552.25,Oscoda
Crawford,833.81,Oscoda
Gratiot,781.18,Oscoda
Hillsdale,922.74,Oscoda
Huron,830.78,Oscoda
Kalkaska,547.43,Oscoda
Lake,574.48,Oscoda
Otsego,766.63,Oscoda
Sanilac,831.49,Oscoda
Tuscola,894.46,Oscoda
Wexford,744.18,Oscoda
Otsego,766.63,Otsego
Crawford,833.81,Otsego
Gratiot,781.18,Otsego
Hillsdale,922.74,Otsego
Ionia,820.09,Otsego
Kalkaska,547.43,Otsego
Lake,574.48,Otsego
Leelanau,801.3,Otsego
Newaygo,692.39,Otsego
Tuscola,894.46,Otsego
Wexford,744.18,Otsego
Presque Isle,679.8,Presque Isle
