OBJECTID_1 *,Shape *,OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,CNTY_CODE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area,Sum ACRES,Summarized Area in ACRES,Count of Polygons,wetlandd
52,Polygon,52,103,103,Marquette,Marquette County,County,103,4840.395,1868.879,1196074.858,17A,portrait,upper,10193619485,563356.5859,387915.1803,4840395341,328714.8773,328715.103,18782,0.274828
53,Polygon,53,105,105,Mason,Mason County,County,105,1320.206,509.732,326226.518,17A,portrait,lower,2553288976,201370.1696,144795.887,1320206096,58583.66564,58583.92105,8202,0.17958
54,Polygon,54,107,107,Mecosta,Mecosta County,County,107,1478.283,570.766,365287.825,17A,landscape,lower,2825862824,212783.1755,153899.9978,1478283300,57121.73087,57121.73818,19118,0.156375
55,Polygon,55,109,109,Menominee,Menominee County,County,109,2722.178,1051.034,672657.663,17A,portrait,upper,5559389052,459932.4636,321942.7504,2722178297,314044.3425,314044.2844,10327,0.466871
56,Polygon,56,111,111,Midland,Midland County,County,111,1366.678,527.675,337709.883,17A,portrait,lower,2612919112,208780.8409,150976.283,1366678127,82284.18425,82284.25251,14858,0.243654
57,Polygon,57,113,113,Missaukee,Missaukee County,County,113,1485.175,573.427,366990.807,17A,landscape,lower,2905973919,216136.2546,154513.9318,1485175094,79402.6317,79402.637,9646,0.216361
58,Polygon,58,115,115,Monroe,Monroe County,County,115,1444.09,557.564,356838.488,17A,landscape,lower,2612929973,307545.2929,228706.6857,1444089677,22883.50278,22883.50213,6385,0.064128
59,Polygon,59,117,117,Montcalm,Montcalm County,County,117,1865.471,720.259,460962.934,17A,landscape,lower,3527547934,268266.3039,195157.6658,1865470898,81251.50882,81251.51115,16298,0.176265
60,Polygon,60,119,119,Montmorency,Montmorency County,County,119,1456.624,562.403,359935.654,17A,portrait,lower,2917293993,217540.0152,153717.1048,1456623596,67510.54016,67510.5478,6267,0.187563
61,Polygon,61,121,121,Muskegon,Muskegon County,County,121,1365.542,527.236,337429.114,17A,landscape,lower,2579961945,242297.1623,176316.3652,1365541881,48859.27114,48859.26191,6971,0.144799
62,Polygon,62,123,123,Newaygo,Newaygo County,County,123,2230.301,861.12,551113.536,17A,portrait,lower,4250931707,266275.1439,192802.1445,2230301370,83058.28968,83058.28915,18757,0.15071
63,Polygon,63,125,125,Oakland,Oakland County,County,125,2348.143,906.619,580232.428,17A,portrait,lower,4347223561,264318.896,194254.2636,2348142614,84522.34516,84522.34855,37553,0.14567
64,Polygon,64,127,127,Oceana,Oceana County,County,127,1413.696,545.829,349328.244,17A,landscape,lower,2701884577,203416.287,147135.9202,1413696470,46220.01267,46220.01515,9157,0.132311
65,Polygon,65,129,129,Ogemaw,Ogemaw County,County,129,1488.246,574.612,367749.618,17A,landscape,lower,2911123872,215799.9277,154297.8587,1488245928,66795.87303,66795.87283,12399,0.181634
